CHANNEL TYPE,NO.,NAME,IP ADDRESS
GEN ENT,579,KBS World,239.1.2.167:8976
GEN ENT,580,Aniplus,239.1.2.117:8676
GEN ENT,581,NHK World Premium,239.1.2.165:8964
GEN ENT,582,WakuWaku Japan,239.1.2.75:8424
GEN ENT,583,Star Chinese,239.1.2.153:8892
,,,
TV SERIES,510,Pelangi (Trial),239.1.1.110:8634
TV SERIES,522,Z Hiburan (Trial),239.1.1.109:8628
TV SERIES,584,SyFy,239.1.2.49:8268
TV SERIES,585,Universal,239.1.2.85:8484
TV SERIES,586,AXN,239.1.2.137:8796
TV SERIES,588,Sony Channel,239.1.2.141:8820
TV SERIES,589,FOX,239.1.2.43:8232
TV SERIES,590,FOX Crime,239.1.2.161:8940
TV SERIES,591,FX,239.1.2.1:7980
,,,
MOVIES,60,Bioskop Indonesia,239.1.1.226:9332
MOVIES,119,Flik,239.1.1.71:8400
MOVIES,616,RED by HBO (Trial),239.1.1.114:8658
MOVIES,0,RED by HBO (HD) (Trial),239.1.1.133:8772
MOVIES,617,GALAXY (Trial),239.1.1.184:8778
MOVIES,681,HBO,239.1.2.95:8544
MOVIES,682,HBO Signature,239.1.2.93:8532
MOVIES,683,Cinemax,239.1.2.87:8496
MOVIES,684,HBO Hits,239.1.2.91:8520
MOVIES,0,HBO Hits (HD),239.1.1.215:9264
MOVIES,685,HBO Family,239.1.2.89:8508
MOVIES,686,AMC Channel,239.1.2.111:8640
MOVIES,687,FOX Movies Premium,239.1.2.11:8040
MOVIES,0,FOX Movies Premium (HD),239.1.1.211:9240
MOVIES,688,FOX Family,239.1.2.175:9024
MOVIES,0,FOX Family (HD),239.1.1.237:9396
MOVIES,689,FOX Action Movies,239.1.2.125:8724
MOVIES,690,Thrill,239.1.2.83:8472
MOVIES,691,Celestial,239.1.2.97:8556
MOVIES,692,Star Chinese Movies,239.1.2.131:8760
MOVIES,693,Star Chinese Movie Legend,239.1.2.151:8880
MOVIES,694,Z Bioskop,239.1.2.129:8748
MOVIES,695,Cinema World,239.1.2.189:9108
MOVIES,0,HBO (HD),239.1.1.203:9192
,,,
SPORTS,781,BeIn Sport 1,239.1.2.217:9216
SPORTS,782,BeIn Sport 2,239.1.2.221:9300
SPORTS,783,BeIn Sport 3,239.1.2.223:9312
SPORTS,0,BeIn Sport 3 (HD),239.1.1.205:9204
SPORTS,784,Fight Sport,239.1.2.99:8568
SPORTS,785,FOX Sports 1,239.1.2.103:8592
SPORTS,786,FOX Sports 2,239.1.2.101:8580
SPORTS,787,FOX Sports 3,239.1.2.53:8292
SPORTS,788,FOX Sport News,239.1.2.55:8304
,,,
NEWS,881,CNN International,239.1.2.105:8604
NEWS,882,Bloomberg,239.1.2.199:9168
NEWS,883,CNBC Asia,239.1.2.155:8904
NEWS,884,Channel News Asia,239.1.2.65:8364
NEWS,885,Al-Jazeera,239.1.2.195:9144
NEWS,886,France 24,239.1.2.191:9120
NEWS,888,DW TV,239.1.2.187:9096
NEWS,889,Australian Plus,239.1.2.33:8172
NEWS,890,Arirang,239.1.2.147:8856
NEWS,891,CCTV 4,239.1.2.115:8664
NEWS,892,CCTV 9,239.1.2.121:8700
NEWS,894,Al-Quran Al-Karim,239.1.2.185:9084
NEWS,896,Euronews,0.0.0.0
,,,
KIDS,23,Dunia Anak,239.1.2.7:8016
KIDS,311,BabyFirst (Trial),239.1.1.157:8916
KIDS,381,Disney Channel,239.1.2.45:8244
KIDS,0,Disney Channel (HD),239.1.1.201:9180
KIDS,382,Disney Junior,239.1.2.47:8256
KIDS,383,DaVinci Learning,239.1.2.177:9250
KIDS,384,Nickelodeon,239.1.2.41:8220
KIDS,385,Nick Jr.,239.1.2.159:8928
KIDS,386,Cartoon Network,239.1.2.123:8712
KIDS,387,Toonami,239.1.2.143:8832
KIDS,388,Boomerang,239.1.2.73:8412
KIDS,389,Duck TV,239.1.2.63:8352
KIDS,390,DreamWorks (Trial),239.1.2.139:8808
